                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.34482,                0.29862,                0.94366,                0.91144,                0.88635,                 0.9405,                0.87255,                0.42919,                0.45683,                0.92357,             6.4063e-05,             6.4063e-05,             6.4063e-05
                     81,                0.34327,                0.29521,                0.94721,                0.91913,                 0.8707,                0.93936,                0.86932,                0.42949,                0.46287,                0.92353,             6.1152e-05,             6.1152e-05,             6.1152e-05
                     82,                0.34209,                0.29419,                0.94231,                0.91179,                 0.8738,                0.93782,                0.87003,                0.42928,                 0.4625,                0.92315,             5.8241e-05,             5.8241e-05,             5.8241e-05
                     83,                0.33872,                0.28977,                0.94193,                0.91658,                0.87769,                0.93896,                0.87059,                0.43218,                0.47592,                0.92581,             5.5331e-05,             5.5331e-05,             5.5331e-05
                     84,                0.33541,                0.29035,                0.94135,                0.93234,                0.87472,                0.93902,                0.87077,                0.43257,                0.47162,                0.92457,              5.242e-05,              5.242e-05,              5.242e-05
                     85,                0.33733,                0.29046,                0.94511,                0.92695,                0.87077,                0.93858,                 0.8686,                0.43121,                0.47382,                0.92368,              4.951e-05,              4.951e-05,              4.951e-05
                     86,                0.33772,                0.28655,                0.94304,                0.91453,                0.87703,                0.93716,                0.86904,                0.43163,                 0.4691,                0.92622,             4.6599e-05,             4.6599e-05,             4.6599e-05
                     87,                0.33453,                0.28574,                0.94247,                0.92448,                0.86823,                0.93379,                0.86663,                0.43435,                0.48128,                0.92782,             4.3688e-05,             4.3688e-05,             4.3688e-05
                     88,                0.32609,                0.27622,                0.93515,                0.92949,                0.86117,                0.93773,                0.86921,                0.43331,                 0.4706,                0.92982,             4.0778e-05,             4.0778e-05,             4.0778e-05
                     89,                  0.328,                0.27046,                0.93883,                0.92973,                0.87113,                0.93767,                0.86954,                0.43416,                0.47253,                  0.933,             3.7867e-05,             3.7867e-05,             3.7867e-05
                     90,                0.32264,                0.27204,                0.93716,                0.91364,                0.87787,                0.93662,                0.86994,                0.43569,                0.46572,                0.93168,             3.4957e-05,             3.4957e-05,             3.4957e-05
                     91,                0.26796,                 0.2055,                 0.8732,                0.92147,                0.88066,                0.93544,                0.86427,                0.44179,                0.46983,                0.94411,             3.2046e-05,             3.2046e-05,             3.2046e-05
                     92,                0.26449,                0.18704,                0.87301,                0.92696,                0.86948,                 0.9364,                0.86804,                0.43773,                0.47123,                0.94014,             2.9135e-05,             2.9135e-05,             2.9135e-05
                     93,                0.25593,                0.17971,                0.86434,                0.91104,                0.88129,                0.93815,                0.87219,                0.43089,                0.46758,                0.93528,             2.6225e-05,             2.6225e-05,             2.6225e-05
                     94,                0.25259,                0.18053,                0.86363,                0.91965,                0.87737,                0.93619,                0.87285,                0.43061,                0.47206,                0.93464,             2.3314e-05,             2.3314e-05,             2.3314e-05
                     95,                0.25039,                0.17838,                0.86206,                0.91101,                0.88774,                0.94004,                0.87585,                0.43027,                0.46035,                0.93385,             2.0404e-05,             2.0404e-05,             2.0404e-05
                     96,                0.24544,                0.17283,                0.86226,                 0.9269,                0.88455,                0.94093,                0.87582,                 0.4291,                 0.4602,                0.93361,             1.7493e-05,             1.7493e-05,             1.7493e-05
                     97,                0.24723,                0.17003,                0.85965,                0.92909,                0.87643,                 0.9392,                0.87438,                0.42931,                0.47016,                0.93293,             1.4582e-05,             1.4582e-05,             1.4582e-05
                     98,                0.24403,                0.17185,                0.85933,                0.91844,                0.88024,                0.93788,                0.87336,                0.43001,                0.47467,                0.93441,             1.1672e-05,             1.1672e-05,             1.1672e-05
                     99,                0.24222,                0.16774,                 0.8611,                0.91606,                0.88224,                0.93884,                0.87448,                0.42817,                0.47053,                0.93378,             8.7612e-06,             8.7612e-06,             8.7612e-06
                    100,                0.23989,                0.16533,                0.85807,                0.91556,                0.88459,                0.93788,                0.87383,                0.42977,                0.47242,                0.93492,             5.8506e-06,             5.8506e-06,             5.8506e-06
